code,P_CODAS,P_COMPLEX_CODAS,P_COMPLEX_ONSETS,P_EJECTIVES,P_IMPLOSIVES,P_LONG_VOWELS,P_TONE,P_UVULARS
nyy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
obo,1,0,0,0.5,0.5,1,0,0.5
otm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ots,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ott,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pap,1,0,0,0.5,0.5,0,0.5,0.5
pcc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pdi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pdt,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
pha,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
phh,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pls,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ply,0.5,0.5,0.5,0.5,0.5,0.5,1,1
pmj,0.5,0.5,0.5,0.5,0.5,0.5,1,1
png,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
poe,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
poi,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
pos,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
pow,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
pri,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pub,1,0,0,0.5,0.5,1,0,0.5
pug,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
pum,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
pwg,0,0,0,0.5,0.5,0,0.5,0.5
qvy,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
qxs,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
raa,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
rab,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
rau,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
rjs,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
rkm,0,0,0,0.5,0.5,0,0.5,0.5
rub,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
ruc,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
rus,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
rwm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
rwr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
san,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
sat,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
sav,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
sbk,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
sbp,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
sce,0.5,0.5,0.5,0.5,0.5,0,0.5,1
sco,1,0,0,0.5,0.5,0,0,0.5
scp,1,0,1,0.5,0.5,1,1,0.5
sei,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
sep,0,0,0,0.5,0.5,1,1,0.5
ses,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
she,1,1,0,0.5,0.5,1,1,0.5
shx,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
sif,1,0,1,0.5,0.5,0,1,0.5
sig,1,0,0,0.5,0.5,1,1,0.5
skn,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
slr,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
snf,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
snl,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
soi,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
sos,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
soz,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
spa,1,0,1,0.5,0.5,0,0,0.5
srm,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
srp,1,0,1,0.5,0.5,0,0,0.5
sse,1,0,0,0.5,0.5,0,0,0.5
stp,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
stv,1,0,0,0.5,0.5,0,0,0.5
suc,1,0,1,0.5,0.5,1,0,0.5
suz,1,0,1,0.5,0.5,1,1,0.5
swi,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
